a00;colera
m67;outros transtornos sinovias tendoes
m670;tendao aquiles curto adquirido
m671;outra contratura tendao bainha
m672;hipertrofia sinovial nao classificada outra parte
m673;sinovite transitoria
m674;ganglios
m678;outros transtornos especificados sinovia tendao
m679;transtorno nao especificado sinovia tendao
m68;transtorno sinovias tendoes doencas classificadas outra parte
m680;sinovite tenossinovite doencas bacterianas classificadas outra parte
m688;outros transtornos sinovias tendoes doencas classificadas outra parte
m70;transtornos tecidos moles relacionados uso uso excessivo pressao
m700;sinovite crepitante cronica mao punho
m701;bursite mao
m702;bursite olecrano
m703;outras bursites cotovelo
m704;bursite pre patelar
m705;outras bursites joelho
m706;bursite trocanterica
m707;outras bursites quadril
m708;outros transtornos tecidos moles relacionados uso uso excessivo pressao
m709;transtorno nao especificado tecidos moles relacionados uso uso excessivo pressao
m71;outras bursopatias
m710;abscesso bolsa sinovial
m711;outras bursites infecciosas
m712;cisto sinovial espaco popliteo baker
m713;outros cistos bolsa sinovial
m714;deposito calcio bolsa sinovial
m715;outras bursites nao classificadas outra parte
m718;outras bursopatias especificadas
m719;bursopatia nao especificada
m72;transtornos fibroblasticos
m720;fibromatose fascia palmar dupuytren
m721;coxins interfalangicos dedos
m722;fibromatose fascia plantar
m724;fibromatose pseudossarcomatosa
m726;fasciite necrosante
m728;outros transtornos fibroblasticos
m729;transtorno fibroblastico nao especificado
m73;transtornos tecidos moles doencas classificadas outra parte
m730;bursite gonococica
m731;bursite sifilitica
m738;outros transtornos tecidos moles outras doencas classificadas outra parte
m75;lesoes ombro
m750;capsulite adesiva ombro
m751;sindrome manguito rotador
m752;tendinite bicepital
m753;tendinite calcificante ombro
m754;sindrome colisao ombro
m755;bursite ombro
m758;outras lesoes ombro
m759;lesao nao especificada ombro
m76;entesopatias membros inferiores excluindo pe
m760;tendinite glutea
m761;tendinite psoas
m762;esporao crista iliaca
m763;sindrome faixa iliotibial
m764;bursite tibial colateral pellegrini stieda
m765;tendinite patelar
m766;tendinite aquileana
m767;tendinite peroneo
m768;outras entesopatias membro inferior excluindo pe
m769;entesopatia membro inferior nao especificada
m77;outras entesopatias
m770;epicondilite medial
m771;epicondilite lateral
m772;periartrite punho
m773;esporao calcaneo
m774;metatarsalgia
m775;outra entesopatia pe
m778;outras entesopatias nao classificadas outra parte
m779;entesopatia nao especificada
m79;outros transtornos tecidos moles nao classificados outra parte
m790;reumatismo nao especificado
m791;mialgia
m792;nevralgia neurite nao especificadas
m793;paniculite nao especificada
m794;hipertrofia coxim gorduroso infrapatelar
m795;corpo estranho residual tecido mole
m796;dor membro
m797;fibromialgia
m798;outros transtornos especificados tecidos moles
m799;transtorno tecidos moles nao especificado
m80;osteoporose fratura patologica
m8000/0;neoplasia benigna
m8000/1;neoplasia comportamento incerto se benigno maligno
m8000/3;neoplasia maligna
m8000/6;neoplasia metastatica
m8001/0;celulas tumorais benignas
m8001/1;celulas tumorais incerto se benignas malignas
m8001/3;celulas tumorais malignas
m8002/3;tumor maligno tipo celulas pequenas
m8003/3;tumor maligno tipo celulas gigantes
m8004/3;tumor maligno tipo celulas fusiformes
m800;osteoporose pos menopausica fratura patologica
m8010/0;tumor epitelial benigno
m8010/2;carcinoma in situ soe
m8010/3;carcinoma soe
m8010/6;carcinoma metastatico soe
m8011/0;epitelioma benigno
m8011/3;epitelioma maligno
m8012/3;carcinomas celulas grandes soe
m801;osteoporose pos ooforectomia fratura patologica
m8020/3;carcinoma indiferenciado soe
m8021/3;carcinoma anaplasico soe
m8022/3;carcinoma pleomorfico
m802;osteoporose desuso fratura patologica
m8030/3;carcinoma celulas gigantes celulas fusiformes
m8031/3;carcinoma celulas gigantes
m8032/3;carcinoma celulas fusiformes
m8033/3;carcinoma pseudossarcomatoso
m8034/3;carcinoma celulas poligonais
m803;osteoporose ma absorcao pos cirurgica fratura patologica
m8040/1;tumorlet
m8041/3;carcinoma celulas pequenas soe
m8042/3;carcinoma oat cell
m8043/3;carcinoma celulas pequenas fusiformes
m8044/3;carcinoma celulas pequenas intermediarias
m8045/3;carcinoma celulas pequenas celulas grandes
m804;osteoporose induzida drogas fratura patologica
m8050/0;papiloma soe exceto papiloma bexiga m8120/1
m8050/2;carcinoma papilar in situ
m8050/3;carcinoma papilar soe
m8051/0;papiloma verrucoso
m8051/3;carcinoma verrucoso soe
m8052/0;papiloma celulas escamosas
m8052/3;carcinoma papilar celulas escamosas
m8053/0;papiloma invertido
m805;osteoporose idiopatica fratura patologica
m8060/0;papilomatose soe
m8070/2;carcinoma in situ celulas escamosas soe
m8070/3;carcinoma celulas escamosas soe
m8070/6;carcinoma celulas escamosas metastatico soe
m8071/3;carcinoma celulas escamosas queratinizado soe
m8072/3;carcinoma celulas escamosas celulas grandes nao queratinizado
m8073/3;carcinoma celulas escamosas celulas pequenas nao queratinizado
m8074/3;carcinoma celulas escamosas celulas fusiformes
m8075/3;carcinoma celulas escamosas adenoides
m8076/2;carcinoma in situ celulas escamosas invasao questionavel estroma
m8076/3;carcinoma celulas escamosas microinvasivo
m8077/2;neoplasia intra epitelial grau iii colo uterino vulva vagina
m8080/2;eritroplasia queyrat
m8081/2;doenca bowen
m8082/3;carcinoma linfoepitelial
m808;outras osteoporoses fratura patologica
m8090/1;tumor celulas basais
m8090/3;carcinoma celulas basais soe
m8091/3;carcinoma celulas basais multicentrico
m8092/3;carcinoma celulas basais tipo morfeia
m8093/3;carcinoma celulas basais fibroepitelial
m8094/3;carcinoma basoescamoso
m8095/3;carcinoma metatipico
m8096/0;epitelioma intra epidermico jadassohn
m809;osteoporose nao especificada fratura patologica
m81;osteoporose sem fratura patologica
m8100/0;tricoepitelioma
m8101/0;tricofoliculoma
m8102/0;tricolemoma
m810;osteoporose pos menopausica
m8110/0;pilomatrixoma soe
m8110/3;carcinoma pilomatrix
m811;osteoporose pos ooforectomia
m8120/0;papiloma celulas transicao soe
m8120/1;papiloma urotelial
m8120/2;carcinoma in situ celulas transicionais
m8120/3;carcinoma celulas transicionais soe
m8121/0;papiloma schneideriano
m8121/1;papiloma celulas transicionais tipo invertido
m8121/3;carcinoma schneideriano
m8122/3;carcinoma celulas transicionais tipo celulas fusiformas
m8123/3;carcinoma basaloide
m8124/3;carcinoma cloacogenico
m812;osteoporose desuso
m8130/3;carcinoma papilar celulas transicionais
m813;osteoporose devida ma absorcao pos cirurgica
m8140/0;adenoma soe
m8140/1;adenoma bronquico soe
m8140/2;adenocarcinoma in situ soe
m8140/3;adenocarcinoma soe
m8140/6;adenocarcinoma metastatico soe
m8141/3;adenocarcinoma esquirroso
m8142/3;linite plastica
m8143/3;adenocarcinoma propagacao superficial
m8144/3;adenocarcionama tipo intestinal
m8145/3;carcinoma tipo difuso
m8146/0;adenoma monomorfico
m8147/0;adenoma celulas basais
m8147/3;adenocarcinoma celulas basais
m814;osteoporose induzida drogas
m8150/0;adenoma celulas ilhotas
m8150/3;carcinoma celulas ilhotas
m8151/0;insulinoma soe
m8151/3;insulinoma maligno
m8152/0;glucagonoma soe
m8152/3;glucagonoma maligno
m8153/1;gastrinoma soe
m8153/3;gastrinoma maligno
m8154/3;adenocarcinoma misto ilhotas exocrino
m8155/3;vipoma
m815;osteoporose idiopatica
m8160/0;adenoma duto biliar
m8160/3;colangiocarcinoma
m8161/0;cistadenoma dutos biliares
m8161/3;cistadenocarcinoma dutos biliares
m8162/3;tumor klatskin
m816;osteoporose localizada lequesne
m8170/0;adenoma celulas hepaticas
m8170/3;carcinoma hepatocelular soe
m8171/3;carcinoma hepatocelular fibrolamelar
m8180/3;carcinoma hepatocelular colangiocarcinoma combinados
m818;outras osteoporoses
m8190/0;adenoma trabecular
m8190/3;adenocarcinoma trabecular
m8191/0;adenoma embrionario
m819;osteoporose nao especificada
m82;osteoporose doencas classificadas outra parte
m8200/0;cilindroma dermico ecrino
m8200/3;carcinoma cistico adenoide
m8201/3;carcinoma cribriforme
m8202/0;adenoma microcistico
m820;osteoporose mielomatose multipla
m8210/0;polipo adenomatoso soe
m8210/2;adenocarcinoma in situ polipo adenomatoso
m8210/3;adenocarcinoma polipo adenomatoso
m8211/0;adenoma tubular soe
m8211/3;adenocarcinoma tubular
m821;osteoporose disturbios endocrinos
m8220/0;polipose adenomatosa colon
m8220/3;adenocarcinoma polipose adenomatosa colon
m8221/0;polipos adenomatosos multiplos
m8221/3;adenocarcinoma polipos adenomatosos multiplos
m8230/3;carcinoma solido soe
m8231/3;carcinoma simples
m8240/1;tumor carcinoide soe apendice
m8240/3;tumor carcinoide soe exceto apendice m8240/1
m8241/1;tumor carcinoide argentafinico soe
m8241/3;tumor carcinoide argentafinico maligno
m8243/3;carcinoma celulas caliciformes
m8244/3;carcinoide composto
m8245/3;tumor adenocarcinoide
m8246/3;carcinoma neuroendocrino
m8247/3;carcinoma celulas merkel
m8248/1;apudoma
m8250/1;adenomatose pulmonar
m8250/3;adenocarcinoma bronquiolo alveolar
m8251/0;adenoma alveolar
m8251/3;adenocarcinoma alveolar
m8260/0;adenoma papilar soe
m8260/3;adenocarcinoma papilar soe
m8261/1;adenoma viloso soe
m8261/2;adenocarcinoma in situ adenoma viloso
m8261/3;adenocarcinoma adenoma viloso
m8262/3;adenocarcinoma viloso
m8263/0;adenoma tubuloviloso soe
m8263/2;adenocarcinoma in situ adenoma tubuloviloso
m8263/3;adenocarcinoma adenoma tubuloviloso
m8270/0;adenoma cromofobo
m8270/3;carcinoma cromofobo
m8271/0;prolactinoma
m8280/0;adenoma acidofilo
m8280/3;carcinoma acidofilo
m8281/0;adenoma misto acidofilo basofilo
m8281/3;carcinoma misto acidofilo basofilo
m828;osteoporose outras doencas classificadas outra parte
m8290/0;adenoma oxifilico
m8290/3;adenocarcinoma oxifilico
m83;osteomalacia adulto
m8300/0;adenoma basofilo
m8300/3;carcinoma basofilo
m830;osteomalacia puerperal
m8310/0;adenoma celulas claras
m8310/3;adenocarcinoma celulas claras soe
m8311/1;tumor hipernefroide
m8312/3;carcinoma celulas renais
m8313/0;adenofibroma celulas claras
m8314/3;carcinoma rico lipides
m8315/3;carcinoma rico glicogenio
m831;osteomalacia senil
m8320/3;carcinoma celulas granulares
m8321/0;adenoma celulas principais
m8322/0;adenoma celulas claras water clear cell
m8322/3;adenocarcinoma celulas claras water clear cell
m8323/0;adenoma celulas mistas
m8323/3;adenocarcinoma celulas mistas
m8324/0;lipoadenoma
m832;osteomalacia adulto devida ma absorcao
m8330/0;adenoma folicular
m8330/3;adenocarcinoma folicular soe
m8331/3;adenocarcinoma folicular bem diferenciado
m8332/3;adenocarcinoma folicular trabecular
m8333/0;adenoma microfolicular
m8334/0;adenoma macrofolicular
m833;osteomalacia adulto devido desnutricao
m8340/3;carcinoma papilar variante folicular
m834;doenca ossea pelo aluminio
m8350/3;carcinoma esclerosante nao encapsulado
m835;outras osteomalacias adulto induzidas drogas
m8360/1;adenomas endocrinos multiplos
m8361/1;tumor justaglomerular
m8370/0;adenoma cortex supra renal soe
m8370/3;carcinoma cortex supra renal
m8371/0;adenoma cortex supra renal celulas compactas
m8372/0;adenoma cortex supra renal variante densamente pigmentada
m8373/0;adenoma cortex supra renal celulas claras
m8374/0;adenoma cortex supra renal celulas glomerulosas
m8375/0;adenoma cortex supra renal celulas mistas
m8380/0;adenoma endometrioide soe
m8380/1;adenoma endometrioide borderline
m8380/3;carcinoma endometrioide
m8381/0;adenofibroma endometrioide soe
m8381/1;adenofibroma endometrioide borderline
m8381/3;adenofibroma endometroide maligno
m838;outra osteomalacia adulto
m8390/0;adenoma apendice cutaneo
m8390/3;carcinoma apendice cutaneo
m839;osteomalacia nao especificada adulto
m84;transtornos continuidade osso
m8400/0;adenoma glandula sudoripara
m8400/1;tumor glandula sudoripara soe
m8400/3;adenocarcinoma glandula sudoripara
m8401/0;adenoma apocrino
m8401/3;adenocarcinoma apocrino
m8402/0;acrospiroma ecrino
m8403/0;espiradenoma ecrino
m8404/0;hidrocistoma
m8405/0;hidradenoma papilar
m8406/0;siringadenoma papilar
m8407/0;siringoma soe
m8408/0;adenoma papilar ecrino
m840;defeito consolidacao fratura
m8410/0;adenoma sebaceo
m8410/3;adenocarcinoma sebaceo
m841;ausencia consolidacao fratura pseudo artrose
m8420/0;adenoma ceruminoso
m8420/3;adenocarcinoma ceruminoso
m842;atraso consolidacao fratura
m8430/1;tumor mucoepidermoide
m8430/3;carcinoma mucoepidermoide
m843;fratura fadiga stress nao classificada outra parte
m8440/0;cistadenoma soe
m8440/3;cistadenocarcinoma soe
m8441/0;cistadenoma seroso soe
m8441/3;cistadenocarcinoma seroso soe
m8442/3;cistadenoma seroso borderline
m844;fratura patologica nao classificada outra parte
m8450/0;cistadenoma papilar soe
m8450/3;cistadenocarcinoma papilar soe
m8451/3;cistadenoma papilar borderline
m8452/1;tumor cistico papilar
m8460/0;cistadenoma seroso papilar soe
m8460/3;cistadenocarcinoma seroso papilar
m8461/0;papiloma seroso superficial
m8461/3;carcinoma papilar seroso superficial
m8462/3;cistadenoma seroso papilar borderline
m8470/0;cistadenoma mucinoso soe
m8470/3;cistadenocarcinoma mucinoso
m8471/0;cistadenoma mucinoso papilar soe
m8471/3;cistadenocarcinoma mucinoso papilar
m8472/3;cistadenoma mucinoso borderline
m8473/3;cistadenoma mucinoso papilar borderline
m8480/0;adenoma mucinoso
m8480/3;adenocarcinoma mucinoso
m8480/6;pseudomixoma peritonio
m8481/3;adenocarcinoma produtor mucina
m848;outros transtornos continuidade osso
m8490/3;carcinoma celulas anel sinete
m8490/6;carcinoma metastatico celulas anel sinete
m849;transtorno nao especificado continuidade osso
m85;outros transtornos densidade estrutura osseas
m8500/2;carcinoma intraductal nao infiltrante soe
m8500/3;carcinoma dutos infiltrante
m8501/2;comedocarcinoma nao infiltrante
m8501/3;comedocarcinoma soe
m8502/3;carcinoma juvenil mama
m8503/0;papiloma intraductal
m8503/2;adenocarcinoma papilar intraductal nao infiltrante
m8503/3;adenocarcinoma papilar intraductal invasao
m8504/0;adenoma papilar intracistico
m8504/2;carcinoma intracistico nao infiltrante
m8504/3;carcinoma intracistico soe
m8505/0;papilomatose intraductal soe
m8506/0;adenoma mamilo
m850;displasia fibrosa monostotica
m8510/3;carcinoma medular soe
m8511/3;carcinoma medular estroma amiloide
m8512/3;carcinoma medular estroma linfoide
m851;fluorose esqueletica
m8520/2;carcinoma lobular in situ
m8520/3;carcinoma lobular soe
m8521/3;carcinoma ductular infiltrante
m8522/2;carcinoma intraductel carcinoma lobular in situ
m8522/3;carcinoma infiltrante dutos lobular
m852;hiperostose cranio
m8530/3;carcinoma inflamatorio
m853;osteite condensante
m8540/3;doenca mamaria paget
m8541/3;doenca paget carcinoma dutos infiltrante mama
m8542/3;doenca paget extramamaria exceto doenca paget osso
m8543/3;doenca paget carcinoma intraductal mama
m854;cisto osseo solitario
m8550/0;adenoma celulas acinares
m8550/1;tumor celulas acinares
m8551/0;carcinoma celulas acinares
m855;cisto osseo aneurismatico
m8560/3;carcinoma adenoescamoso
m8561/0;adenolinfoma
m8562/3;carcinoma epitelial mioepitelial
m856;outro cisto osseo
m8570/3;adenocarcinoma metaplasia escamosa
m8571/3;adenocarcinoma metaplasia cartilaginosa ossea
m8572/3;adenocarcinoma metaplasia celulas fusiformes
m8573/3;adenocarcinoma metaplasia apocrina
m8580/0;timoma benigno
m8580/3;timoma maligno
m858;outros transtornos especificados densidade estrutura osseas
m8590/1;tumor cordoes sexuais estroma
m859;transtorno nao especificado densidade estrutura osseas
m86;osteomielite
m8600/0;tecoma soe
m8600/3;tecoma maligno
m8601/3;tecoma luteinizado
m8602/0;tumor esclerosante estroma
m860;osteomielite aguda hematogenica
m8610/0;luteoma soe
m861;outra osteomielite aguda
m8620/1;tumor celulas granulosa soe
m8620/3;tumor maligno celulas granulosa
m8621/1;tumor celulas granulosa celulas teca
m8622/1;tumor juvenil celulas granulosa
m8623/1;tumor cordoes sexuais tubulos anulares
m862;osteomielite subaguda
m8630/0;androblastoma benigno
m8630/1;androblastoma soe
m8630/3;androblastoma maligno
m8631/0;tumor celulas sertoli leydig
m8632/1;ginandroblastoma
m863;osteomielite cronica multifocal
m8640/0;tumor celulas sertoli soe
m8640/3;carcinoma celulas sertoli
m8641/0;tumor celulas sertoli deposito lipides
m864;osteomielite cronica seio drenante
m8650/0;tumor benigno celulas leydig
m8650/1;tumor celulas leydig soe
m8650/3;tumor maligno celulas leydig
m865;outra osteomielite cronica hematogenica
m8660/0;tumor celulas hilo
m866;outra osteomielite cronica
m8670/0;tumor celulas lipidicas ovario
m8671/0;tumor supra renal acessorio resto adrenal
m8680/1;paraganglioma soe
m8680/3;paraganglioma maligno
m8681/1;paraganglioma simpatico
m8682/1;paraganglioma parassimpatico
m8683/0;paraganglioma gangliocitico
m868;outra osteomielite
m8690/1;tumor glomo jugular
m8691/1;tumor corpo aortico
m8692/1;tumor corpo carotideo
m8693/1;paraganglioma extra supra renal soe
m8693/3;paraganglioma extra supra renal maligno
m869;osteomielite nao especificada
m87;osteonecrose
m8700/0;feocromocitoma soe
m8700/3;feocromocitoma maligno
m870;necrose asseptica idiopatica osso
m8710/3;glomangiossarcoma
m8711/0;tumor glomo
m8712/3;glomangioma
m8713/0;glomangiomioma
m871;osteonecrose devida drogas
m8720/0;nevo pigmentado soe
m8720/2;melanoma in situ
m8720/3;melanoma maligno soe
m8721/3;melanoma nodular
m8722/0;nevo celulas baloniformes
m8722/3;melanoma celulas baloniformes
m8723/0;halo nevo
m8723/3;melanoma maligno regressao
m8724/0;papula fibrosa nariz
m8725/0;neuronevo
m8726/0;nevo magnocelular
m8727/0;nevo displasico
m872;osteonecrose devida traumatismo anterior
m8730/0;nevo nao pigmentado
m8730/3;melanoma amelanotico
m873;outras osteonecroses secundarias
m8740/0;nevo juncional soe
m8740/3;melanoma maligno nevo juncional
m8741/2;melanose pre cancerosa soe
m8741/3;melanoma maligno melanose pre cancerosa
m8742/2;sarda melanotica hutchinson soe
m8742/3;melanoma maligno sarda melanotica hutchinson
m8743/3;melanoma propagacao superficial
m8744/3;melanoma lentiginoso maligno extremidades perifericas
m8745/3;melanoma desmoplastico maligno
m8750/0;nevo intradermico
m8760/0;nevo composto
m8761/1;nevo pigmentado gigante soe
m8761/3;melanoma maligno nevo pigmentado gigante
m8770/0;nevo epitelioide celulas fusiformes
m8770/3;melanoma misto epitelioide celulas fusiformes
m8771/0;nevo celulas epitelioides
m8771/3;melanoma celulas epitelioides
m8772/0;nevo celulas fusiformes
m8772/3;melanoma celulas fusiformes soe
m8773/3;melanoma celulas fusiformes tipo a
m8774/3;melanoma celulas fusiformes tipo b
m8780/0;nevo azul soe
m8780/3;nevo azul maligno
m878;outras osteonecroses
m8790/0;nevo azul celular
m879;osteonecrose nao especificada
m88;doenca paget osso osteite deformante
m8800/0;tumor benigno tecidos moles
m8800/3;sarcoma soe
m8800/6;sarcomatose soe
m8801/3;sarcoma celulas fusiformes
m8802/3;sarcoma celulas gigantes exceto osso m9250/3
m8803/3;sarcoma celulas pequenas
m8804/3;sarcoma epitelioide
m880;doenca paget cranio
m8810/0;fibroma soe
m8810/3;fibrossarcoma soe
m8811/0;fibromixoma soe
m8811/3;firbromixossarcoma
m8812/0;fibroma periostal
m8812/3;fibrossarcoma periostal
m8813/0;fibroma fascia
m8813/3;fibrossarcoma fascia
m8814/3;fibrossarcoma infantil
m8820/0;elastofibroma
m8821/1;fibromatose agressiva
m8822/1;fibromatose abdominal
m8823/1;fibroma desmoplastico
m8824/1;miofibromatose
m8830/0;histiocitoma fibroso soe
m8830/1;histiocitoma fibroso atipico
m8830/3;histiocitoma fibroso maligno
m8832/0;dermatofibroma soe
m8832/3;dermatofibrossarcoma soe
m8833/3;dermatofibrossarcoma protuberante pigmentado
m8840/0;mixoma soe
m8840/3;mixossarcoma
m8841/1;angiomixoma
m8850/0;lipoma soe
m8850/3;lipossarcoma soe
m8851/0;fibrolipoma
m8851/3;lipossarcoma bem diferenciado
m8852/0;fibromixolipoma
m8852/3;lipossarcoma mixoide
m8853/3;lipossarcoma celulas redondas
m8854/0;lipoma pleomorfico
m8854/3;lipossarcoma pleomorfico
m8855/3;lipossarcoma misto
m8856/0;lipoma intramuscular
m8857/0;lipoma celulas fusiformes
m8858/3;lipossarcoma desdiferenciado
m8860/0;angiomiolipoma
m8861/0;angiolipoma soe
m8870/0;mielolipoma
m8880/0;hibernoma
m8881/0;lipoblastomatose
m888;doenca paget outros ossos
m8890/0;leiomioma soe
m8890/1;leiomiomatose soe
m8890/3;leiomiossarcoma soe
m8891/0;leiomioma epitelioide
m8892/0;leiomioma celular
m8893/0;leiomioma bizarro
m8894/0;angiomioma
m8894/3;angiomiossarcoma
m8895/0;mioma
m8895/3;miossarcoma
m8896/3;leiomiossarcoma mixoide
m8897/1;tumor musculo liso soe
m889;doenca paget osso nao especificado
m89;outros transtornos osseos
m8900/0;rabdomioma soe
m8900/3;rabdomiossarcoma soe
m8901/3;rabdomiossarcoma pleomorfico
m8902/3;rabdomiossarcoma tipo misto
m8903/0;rabdomioma fetal
m8904/0;rabdomioma adulto
m890;algoneurodistrofia
m8910/3;rabdomiossarcoma embrionario
m891;parada crescimento epifisario
m8920/3;rabdomiossarcoma alveolar
m892;outros transtornos desenvolvimento crescimento osseo
m8930/0;nodulo estroma endometrial
m8930/3;sarcoma estroma endometrial
m8931/1;miose endolinfatico estroma
m8932/0;adenomioma
m8933/3;adenossarcoma
m893;hipertrofia ossea
m8940/0;adenoma pleomorfico
m8940/3;tumor misto maligno soe
m8941/3;carcinoma adenoma pleomorfico
m894;outras osteoartropatias hipertroficas
m8950/3;tumor mulleriano misto
m8951/3;tumor mesodermico misto
m895;osteolise
m8960/1;nefroma mesoblastico
m8960/3;nefroblastoma soe
m8963/3;sarcoma rabdoide
m8964/3;sarcoma celulas claras rim
m896;osteopatia pos poliomielite
m8970/3;hepatoblastoma
m8971/3;pancreatoblastoma
m8972/3;blastoma pulmonar
m8980/3;carcinossarcoma soe
m8981/3;carcinossarcoma embrionario
m8982/0;mioepitelioma
m898;outros transtornos especificados osso
m8990/0;mesenquimoma benigno
m8990/1;mesenquimoma soe
m8990/3;mesenquimoma maligno
m8991/3;sarcoma embrionario
m899;transtorno nao especificado osso
m90;osteopatias doencas classificadas outra parte
m9000/0;tumor brenner soe
m9000/1;tumor brenner borderline
m9000/3;tumor brenner maligno
m900;tuberculose ossea
m9010/0;fibroadenoma soe
m9011/0;fibroadenoma intracanalicular
m9012/0;fibroadenoma pericanalicular
m9013/0;adenofibroma soe
m9014/0;adenofibroma seroso
m9015/0;adenofibroma mucinoso
m9016/0;fibroadenoma gigante
m901;periostite outras doencas infecciosas classificadas outra parte
m9020/0;tumor filodes benigno
m9020/1;tumor filodes soe
m9020/3;tumor filodes maligno
m902;osteopatia outras doencas infecciosas classificadas outra parte
m9030/3;fibroadenoma juvenil
m903;osteonecrose mal caixoes
m9040/0;sinovioma benigno
m9040/3;sarcoma sinovial soe
m9041/3;sarcoma sinovial celulas fusiformes
m9042/3;sarcoma sinovial celulas epitelioides
m9043/3;sarcoma sinovial bifasico
m9044/3;sarcoma celulas claras exceto rim m8964/3
m904;osteonecrose devida hemoglobinopatia
m9050/0;mesotelioma benigno
m9050/3;mesotelioma maligno
m9051/0;mesotelioma fibroso benigno
m9051/3;mesotelioma fibroso maligno
m9052/0;mesotelioma epitelioide benigno
m9052/3;mesotelioma epitelioide maligno
m9053/0;mesotelioma bifasico benigno
m9053/3;mesotelioma bifasico maligno
m9054/0;tumor adenomatoide soe
m9055/1;mesotelioma cistico
m905;osteonecrose outras doencas classificadas outra parte
m9060/3;disgerminoma
m9061/3;seminoma soe
m9062/3;seminoma anaplastico
m9063/3;seminoma espermatocitico
m9064/3;germinoma
m906;osteite deformante doencas neoplasicas
m9070/3;carcinoma embrionario soe
m9071/3;tumor seio endodermico
m9072/3;poliembrioma
m9073/1;gonadoblastoma
m907;fratura ossea doencas neoplasicas
m9080/0;teratoma benigno
m9080/1;teratoma soe
m9080/3;teratoma maligno soe
m9081/3;teratocarcinoma
m9082/3;teratoma maligno nao diferenciado
m9083/3;teratoma maligno intemediario
m9084/0;cisto dermoide soe
m9084/3;teratoma transformacao maligna
m9085/3;tumor misto celulas germinativas
m908;osteopatia outras doencas classificadas outra parte
m9090/0;estruma ovariana soe
m9090/3;estruma ovariana maligna
m9091/1;carcinoide estrumal
m91;osteocondrose juvenil quadril pelve
m9100/0;mola hidatiforme soe
m9100/1;mola hidatiforma invasiva
m9100/3;coriocarcinoma soe
m9101/3;coriocarcinoma combinado outros elementos celulas germinativas
m9102/3;teratoma maligno trofoblastico
m9103/0;mola hidatiforme parcial
m9104/1;tumor trofoblastico sitio placentario
m910;osteocondrose juvenil pelve
m9110/0;mesomefroma benigno
m9110/1;tumor mesonefrico
m9110/3;mesomefroma maligno
m911;osteocondrose juvenil cabeca femur legg calve perthes
m9120/0;hemangioma soe
m9120/3;hemangiossarcoma
m9121/0;hemangioma cavernoso
m9122/0;hemangioma venoso
m9123/0;hemangioma racemoso
m9124/3;sarcoma celulas kupfer
m9125/0;hemangioma epiteliode
m9126/0;hemangioma histiocitoide
m912;coxa plana
m9130/0;hemangioendotelioma benigno
m9130/1;hemangioendotelioma soe
m9130/3;hemangioendotelioma maligno
m9131/0;hemangioma capilar
m9132/0;hemangioma intramuscular
m9133/1;hemangioendotelioma epitelioide soe
m9133/3;hemangioendotelioma epitelioide maligno
m9134/1;tumor alveolar bronquio intravascular
m913;pseudocoxalgia
m9140/3;sarcoma kaposi
m9141/0;angioqueratoma
m9142/0;hemangioma queratotico verrucoso
m9150/0;hemangiopericitoma benigno
m9150/1;hemangiopericitoma soe
m9150/3;hemangiopericitoma maligno
m9160/0;angiofibroma soe
m9161/1;hemangioblastoma
m9170/0;linfangioma soe
m9170/3;linfangiossarcoma
m9171/0;linfangioma capilar
m9172/0;linfangioma cavernoso
m9173/0;linfangioma cistico
m9174/0;linfangiomioma
m9174/1;linfangiomiomatose
m9175/0;hemolinfangioma
m9180/0;osteoma soe
m9180/3;osteossarcoma soe
m9181/3;osteossarcoma condroblastico
m9182/3;osteossarcoma fibroblastico
m9183/3;osteossarcoma telangiectasico
m9184/3;osteossarcoma doenca paget osso
m9185/3;osteossarcoma celulas pequenas
m918;outras osteocondroses juvenis quadril pelve
m9190/3;osteossarcoma justacortical
m9191/0;osteoma osteoide soe
m919;osteocondrose juvenil nao especificada quadril pelve
m92;outras osteocondroses juvenis
m9200/0;osteoblastoma soe
m9200/1;osteoblastoma agressivo
m920;osteocondrose juvenil umero
m9210/0;osteocondroma
m9210/1;osteocondromatose soe
m921;osteocondrose juvenil radio cubito ulna
m9220/0;condroma soe
m9220/1;condromatose soe
m9220/3;condrossarcoma soe
m9221/0;condroma justacortical
m9221/3;condrossarcoma justacortical
m922;osteocondrose juvenil mao
m9230/0;condroblastoma soe
m9230/3;condroblastoma maligno
m9231/3;condrossarcoma mixoide
m923;outras osteocondroses juvenis membro superior
m9240/3;condrossarcoma mesenquimal
m9241/0;fibrossarcoma condromixoide
m924;osteocondrose juvenil rotula patela
m9250/1;tumor celulas gigantes osso soe
m9250/3;tumor maligno celulas gigantes osso
m9251/1;tumor celulas gigantes partes moles soe
m9251/3;tumor maligno celulas gigantes partes moles
m925;osteocondrose juvenil tibia peronio fibula
m9260/3;sarcoma ewing
m9261/3;adamantinoma ossos longos
m9262/0;fibroma ossificante
m926;osteocondrose juvenil tarso
m9270/0;tumor odontogenico benigno
m9270/1;tumor odontogenico soe
m9270/3;tumor odontogenico maligno
m9271/0;dentinoma
m9272/0;cementoma soe
m9273/0;cementoblastoma benigno
m9274/0;fibroma cementificante
m9275/0;cementoma gigantiforme
m927;osteocondrose juvenil metatarso
m9280/0;odontoma soe
m9281/0;odontoma composto
